review,rating,course_id,course_name,instructor_name,difficulty_level,sentiment
The course was perfect for beginners,3,PHIL-505,Statistics for Data Science,Dr. Mike Davis,Easy,Negative
I didn't like the way the course was paced,3,ML-101,Introduction to Machine Learning,Dr. Bob Johnson,Medium,Negative
The course was too easy,5,ML-101,Data Structures and Algorithms,Dr. Alice Brown,Hard,Positive
I didn't like the way the course was paced,5,ECON-404,Statistics for Data Science,Dr. Bob Johnson,Medium,Positive
The course was too easy,2,ML-101,Introduction to Machine Learning,Dr. Alice Brown,Hard,Negative
The course was perfect for beginners,3,ECON-404,Economics for Business,Dr. John Smith,Hard,Negative
The course was very well-organized,5,STAT-303,Introduction to Machine Learning,Dr. John Smith,Hard,Positive
The course was too easy,1,PHIL-505,Statistics for Data Science,Dr. Alice Brown,Easy,Negative
The instructor was very responsive,5,ML-101,Data Structures and Algorithms,Dr. Bob Johnson,Hard,Positive
The instructor was not very engaging,5,ML-101,Data Structures and Algorithms,Dr. John Smith,Hard,Positive
I was disappointed with the lack of hands-on exercises,3,ECON-404,Economics for Business,Dr. Jane Doe,Hard,Negative
This course was amazing!,2,ML-101,Philosophy of Artificial Intelligence,Dr. Bob Johnson,Hard,Negative
The course was perfect for beginners,5,STAT-303,Introduction to Machine Learning,Dr. Alice Brown,Easy,Positive
The course was too easy,1,PHIL-505,Data Structures and Algorithms,Dr. Jane Doe,Easy,Negative
I didn't like the way the course was paced,2,ML-101,Economics for Business,Dr. Mike Davis,Medium,Negative
The instructor was very knowledgeable,3,ML-101,Statistics for Data Science,Dr. Jane Doe,Medium,Negative
I loved the interactive quizzes,3,PHIL-505,Statistics for Data Science,Dr. Alice Brown,Hard,Negative
This course was amazing!,2,CS-202,Data Structures and Algorithms,Dr. Alice Brown,Easy,Negative
The course was too easy,4,STAT-303,Data Structures and Algorithms,Dr. Mike Davis,Hard,Positive
The course was very well-organized,3,PHIL-505,Statistics for Data Science,Dr. Jane Doe,Easy,Negative
The instructor was very knowledgeable,1,CS-202,Introduction to Machine Learning,Dr. Mike Davis,Easy,Negative
The instructor was very knowledgeable,3,PHIL-505,Introduction to Machine Learning,Dr. Mike Davis,Easy,Negative
The instructor was very responsive,3,ECON-404,Introduction to Machine Learning,Dr. Alice Brown,Medium,Negative
I loved the interactive quizzes,1,ML-101,Statistics for Data Science,Dr. Jane Doe,Hard,Negative
The course was very well-organized,2,ML-101,Data Structures and Algorithms,Dr. Jane Doe,Easy,Negative
The course was too easy,3,STAT-303,Data Structures and Algorithms,Dr. John Smith,Easy,Negative
The instructor was not very engaging,1,STAT-303,Data Structures and Algorithms,Dr. Alice Brown,Medium,Negative
This course was amazing!,4,CS-202,Philosophy of Artificial Intelligence,Dr. Alice Brown,Medium,Positive
I loved the interactive quizzes,5,ML-101,Philosophy of Artificial Intelligence,Dr. Mike Davis,Easy,Positive
This course was amazing!,4,STAT-303,Statistics for Data Science,Dr. Jane Doe,Easy,Positive
I was disappointed with the lack of hands-on exercises,1,ML-101,Statistics for Data Science,Dr. Mike Davis,Hard,Negative
The instructor was not very engaging,2,ECON-404,Statistics for Data Science,Dr. John Smith,Easy,Negative
I loved the interactive quizzes,2,ML-101,Statistics for Data Science,Dr. Jane Doe,Easy,Negative
The course was perfect for beginners,1,PHIL-505,Philosophy of Artificial Intelligence,Dr. Mike Davis,Easy,Negative
I didn't like the way the course was paced,5,ML-101,Statistics for Data Science,Dr. Jane Doe,Easy,Positive
The instructor was not very engaging,3,PHIL-505,Philosophy of Artificial Intelligence,Dr. Mike Davis,Hard,Negative
The instructor was very responsive,4,CS-202,Philosophy of Artificial Intelligence,Dr. Mike Davis,Easy,Positive
The instructor was not very engaging,1,CS-202,Economics for Business,Dr. Jane Doe,Hard,Negative
I was disappointed with the lack of hands-on exercises,4,ML-101,Introduction to Machine Learning,Dr. Bob Johnson,Easy,Positive
